Attendance_ID,Employee_ID,Date,Status,Working_Hours
AT00059,EMP0002,2025-01-29,Absent,0.0
AT00060,EMP0002,2025-01-30,Present,8.7
AT00061,EMP0003,2025-01-01,Present,7.3
AT00062,EMP0003,2025-01-02,Present,8.5
AT00063,EMP0003,2025-01-03,Present,8.2
AT00064,EMP0003,2025-01-04,Present,7.8
AT00065,EMP0003,2025-01-05,Present,7.9
AT00066,EMP0003,2025-01-06,Present,8.6
AT00067,EMP0003,2025-01-07,Present,7.5
AT00068,EMP0003,2025-01-08,Present,8.4
AT00069,EMP0003,2025-01-09,Present,8.6
AT00070,EMP0003,2025-01-10,Present,7.6
AT00071,EMP0003,2025-01-11,Present,7.2
AT00072,EMP0003,2025-01-12,Present,9.0
AT00073,EMP0003,2025-01-13,Present,7.1
AT00074,EMP0003,2025-01-14,Present,7.6
AT00075,EMP0003,2025-01-15,Present,7.5
AT00076,EMP0003,2025-01-16,Present,7.3
AT00077,EMP0003,2025-01-17,Present,8.3
AT00078,EMP0003,2025-01-18,Leave,8.8
AT00079,EMP0003,2025-01-19,Absent,0.0
AT00080,EMP0003,2025-01-20,Present,7.3
AT00081,EMP0003,2025-01-21,Present,7.0
AT00082,EMP0003,2025-01-22,WFH,8.7
AT00083,EMP0003,2025-01-23,Present,8.2
AT00084,EMP0003,2025-01-24,Present,7.7
AT00085,EMP0003,2025-01-25,Present,7.9
AT00086,EMP0003,2025-01-26,Present,8.7
AT00087,EMP0003,2025-01-27,WFH,7.1
AT00088,EMP0003,2025-01-28,Present,8.8
AT00089,EMP0003,2025-01-29,Present,8.4
AT00090,EMP0003,2025-01-30,Present,7.5
AT00091,EMP0004,2025-01-01,Present,7.5
AT00092,EMP0004,2025-01-02,Present,8.5
AT00093,EMP0004,2025-01-03,Present,7.6
AT00094,EMP0004,2025-01-04,Present,7.0
AT00095,EMP0004,2025-01-05,Present,8.8
AT00096,EMP0004,2025-01-06,Present,8.9
AT00097,EMP0004,2025-01-07,Leave,8.6
AT00098,EMP0004,2025-01-08,Present,8.7
AT00099,EMP0004,2025-01-09,Present,9.0
AT00100,EMP0004,2025-01-10,Present,8.3
AT00101,EMP0004,2025-01-11,Present,8.8
AT00102,EMP0004,2025-01-12,Present,9.0
AT00103,EMP0004,2025-01-13,Present,8.1
AT00104,EMP0004,2025-01-14,Present,8.1
AT00105,EMP0004,2025-01-15,Present,8.4
AT00106,EMP0004,2025-01-16,Present,7.2
AT00107,EMP0004,2025-01-17,Present,7.3
AT00108,EMP0004,2025-01-18,Present,7.6
AT00109,EMP0004,2025-01-19,Present,7.5
AT00110,EMP0004,2025-01-20,Present,7.0
AT00111,EMP0004,2025-01-21,Present,7.3
AT00112,EMP0004,2025-01-22,Present,7.3
AT00113,EMP0004,2025-01-23,Present,7.1
AT00114,EMP0004,2025-01-24,Present,7.7
AT00115,EMP0004,2025-01-25,Present,7.2
AT00116,EMP0004,2025-01-26,Present,8.0
AT00117,EMP0004,2025-01-27,WFH,7.2
AT00118,EMP0004,2025-01-28,Present,8.3
AT00119,EMP0004,2025-01-29,Present,8.3
AT00120,EMP0004,2025-01-30,Present,7.2
AT00121,EMP0005,2025-01-01,Leave,7.7
AT00122,EMP0005,2025-01-02,Present,8.8
AT00123,EMP0005,2025-01-03,Present,7.7
AT00124,EMP0005,2025-01-04,Present,7.7
AT00125,EMP0005,2025-01-05,Present,8.7
AT00126,EMP0005,2025-01-06,Present,7.1
AT00127,EMP0005,2025-01-07,Present,8.3
AT00128,EMP0005,2025-01-08,Present,7.8
AT00129,EMP0005,2025-01-09,Present,8.6
AT00130,EMP0005,2025-01-10,Absent,0.0
AT00131,EMP0005,2025-01-11,Present,7.1
AT00132,EMP0005,2025-01-12,Present,8.2
AT00133,EMP0005,2025-01-13,Absent,0.0
AT00134,EMP0005,2025-01-14,Present,8.3
AT00135,EMP0005,2025-01-15,Present,7.8
AT00136,EMP0005,2025-01-16,Present,8.9
AT00137,EMP0005,2025-01-17,Present,7.2
AT00138,EMP0005,2025-01-18,Present,7.1
AT00139,EMP0005,2025-01-19,Present,7.9
AT00140,EMP0005,2025-01-20,Present,7.1
AT00141,EMP0005,2025-01-21,Present,7.5
AT00142,EMP0005,2025-01-22,Present,7.5
AT00143,EMP0005,2025-01-23,Present,8.1
AT00144,EMP0005,2025-01-24,Present,8.2
AT00145,EMP0005,2025-01-25,Present,7.4
AT00146,EMP0005,2025-01-26,Present,7.4
AT00147,EMP0005,2025-01-27,WFH,7.7
AT00148,EMP0005,2025-01-28,Present,7.6
AT00149,EMP0005,2025-01-29,WFH,8.7
AT00150,EMP0005,2025-01-30,Present,7.1
AT00151,EMP0006,2025-01-01,Present,7.9
AT00152,EMP0006,2025-01-02,Present,8.1
AT00153,EMP0006,2025-01-03,Leave,8.6
AT00154,EMP0006,2025-01-04,Present,8.9
AT00155,EMP0006,2025-01-05,Present,7.2
AT00156,EMP0006,2025-01-06,Present,8.2
AT00157,EMP0006,2025-01-07,Present,7.3
AT00158,EMP0006,2025-01-08,Present,7.3
AT00159,EMP0006,2025-01-09,Absent,0.0
AT00160,EMP0006,2025-01-10,Present,7.7
AT00161,EMP0006,2025-01-11,Present,8.6
AT00162,EMP0006,2025-01-12,Present,8.6
AT00163,EMP0006,2025-01-13,Present,7.7
AT00164,EMP0006,2025-01-14,Present,7.9
AT00165,EMP0006,2025-01-15,Present,7.7
AT00166,EMP0006,2025-01-16,Present,7.1
AT00167,EMP0006,2025-01-17,Present,7.7
AT00168,EMP0006,2025-01-18,Present,8.1
AT00169,EMP0006,2025-01-19,Present,8.8
AT00170,EMP0006,2025-01-20,Present,8.3
AT00171,EMP0006,2025-01-21,Present,7.7
AT00172,EMP0006,2025-01-22,Present,7.6
AT00173,EMP0006,2025-01-23,Present,8.2
AT00174,EMP0006,2025-01-24,Present,8.5
AT00175,EMP0006,2025-01-25,WFH,7.9
AT00176,EMP0006,2025-01-26,Present,7.1
AT00177,EMP0006,2025-01-27,WFH,8.9
AT00178,EMP0006,2025-01-28,Present,8.6
AT00179,EMP0006,2025-01-29,Present,7.9
AT00180,EMP0006,2025-01-30,Present,8.4
AT00181,EMP0007,2025-01-01,Present,8.5
AT00182,EMP0007,2025-01-02,Present,7.9
AT00183,EMP0007,2025-01-03,Present,7.6
AT00184,EMP0007,2025-01-04,Present,8.1
AT00185,EMP0007,2025-01-05,Present,7.6
AT00186,EMP0007,2025-01-06,Present,7.7
AT00187,EMP0007,2025-01-07,Present,9.0
AT00188,EMP0007,2025-01-08,Present,8.2
AT00189,EMP0007,2025-01-09,WFH,7.3
AT00190,EMP0007,2025-01-10,WFH,7.6
AT00191,EMP0007,2025-01-11,Present,7.4
AT00192,EMP0007,2025-01-12,Present,8.6
AT00193,EMP0007,2025-01-13,Present,8.3
AT00194,EMP0007,2025-01-14,WFH,8.8
AT00195,EMP0007,2025-01-15,Present,7.3
AT00196,EMP0007,2025-01-16,Present,8.5
AT00197,EMP0007,2025-01-17,Present,8.4
AT00198,EMP0007,2025-01-18,Present,7.2
AT00199,EMP0007,2025-01-19,Present,7.1
AT00200,EMP0007,2025-01-20,WFH,8.6
AT00201,EMP0007,2025-01-21,Present,7.0
AT00202,EMP0007,2025-01-22,Leave,8.8
AT00203,EMP0007,2025-01-23,Present,8.1
AT00204,EMP0007,2025-01-24,Present,8.3
AT00205,EMP0007,2025-01-25,Present,7.8
AT00206,EMP0007,2025-01-26,Present,7.2
AT00207,EMP0007,2025-01-27,Present,7.0
AT00208,EMP0007,2025-01-28,Present,7.3
AT00209,EMP0007,2025-01-29,Present,8.6
AT00210,EMP0007,2025-01-30,Present,7.2
AT00211,EMP0008,2025-01-01,WFH,7.2
AT00212,EMP0008,2025-01-02,Present,8.2
AT00213,EMP0008,2025-01-03,Present,7.5
AT00214,EMP0008,2025-01-04,Present,7.2
AT00215,EMP0008,2025-01-05,Absent,0.0
AT00216,EMP0008,2025-01-06,WFH,8.0
AT00217,EMP0008,2025-01-07,Present,8.3
AT00218,EMP0008,2025-01-08,Absent,0.0
AT00219,EMP0008,2025-01-09,Present,8.2
AT00220,EMP0008,2025-01-10,Present,8.0
AT00221,EMP0008,2025-01-11,Present,8.4
AT00222,EMP0008,2025-01-12,Present,7.1
AT00223,EMP0008,2025-01-13,Absent,0.0
AT00224,EMP0008,2025-01-14,Present,7.2
AT00225,EMP0008,2025-01-15,Present,7.3
AT00226,EMP0008,2025-01-16,Leave,8.2
AT00227,EMP0008,2025-01-17,Leave,9.0
AT00228,EMP0008,2025-01-18,Present,8.9
AT00229,EMP0008,2025-01-19,Present,8.6
AT00230,EMP0008,2025-01-20,Present,8.6
AT00231,EMP0008,2025-01-21,Present,7.7
AT00232,EMP0008,2025-01-22,Present,7.9
AT00233,EMP0008,2025-01-23,Present,7.5
AT00234,EMP0008,2025-01-24,Present,8.9
AT00235,EMP0008,2025-01-25,Present,7.6
AT00236,EMP0008,2025-01-26,Present,8.4
AT00237,EMP0008,2025-01-27,WFH,8.8
AT00238,EMP0008,2025-01-28,Present,8.8
AT00239,EMP0008,2025-01-29,Present,8.1
AT00240,EMP0008,2025-01-30,Present,7.6
AT00241,EMP0009,2025-01-01,Absent,0.0
AT00242,EMP0009,2025-01-02,Present,8.7
AT00243,EMP0009,2025-01-03,Absent,0.0
AT00244,EMP0009,2025-01-04,Present,8.2
AT00245,EMP0009,2025-01-05,Present,8.4
AT00246,EMP0009,2025-01-06,Present,7.4
AT00247,EMP0009,2025-01-07,Leave,8.7
AT00248,EMP0009,2025-01-08,Present,8.1
AT00249,EMP0009,2025-01-09,Present,8.0
AT00250,EMP0009,2025-01-10,Present,7.6
AT00251,EMP0009,2025-01-11,Present,7.5
AT00252,EMP0009,2025-01-12,Present,8.0
AT00253,EMP0009,2025-01-13,Absent,0.0
AT00254,EMP0009,2025-01-14,Present,8.0
AT00255,EMP0009,2025-01-15,Present,8.5
AT00256,EMP0009,2025-01-16,Present,7.6
AT00257,EMP0009,2025-01-17,Present,7.8
AT00258,EMP0009,2025-01-18,Present,9.0
AT00259,EMP0009,2025-01-19,Present,8.1
AT00260,EMP0009,2025-01-20,Absent,0.0
AT00261,EMP0009,2025-01-21,Present,7.8
AT00262,EMP0009,2025-01-22,Present,7.2
AT00263,EMP0009,2025-01-23,Present,7.2
AT00264,EMP0009,2025-01-24,Present,7.1
AT00265,EMP0009,2025-01-25,Present,7.2
AT00266,EMP0009,2025-01-26,Present,7.5
AT00267,EMP0009,2025-01-27,Present,7.1
AT00268,EMP0009,2025-01-28,Present,8.7
AT00269,EMP0009,2025-01-29,Present,7.7
AT00270,EMP0009,2025-01-30,WFH,8.1
AT00271,EMP0010,2025-01-01,Present,8.1
AT00272,EMP0010,2025-01-02,Absent,0.0
AT00273,EMP0010,2025-01-03,Present,7.7
AT00274,EMP0010,2025-01-04,WFH,8.4
AT00275,EMP0010,2025-01-05,Present,7.4
AT00276,EMP0010,2025-01-06,Present,8.5
AT00277,EMP0010,2025-01-07,Present,8.8
AT00278,EMP0010,2025-01-08,Present,8.4
AT00279,EMP0010,2025-01-09,Present,7.1
AT00280,EMP0010,2025-01-10,Leave,8.7
AT00281,EMP0010,2025-01-11,Present,8.5
AT00282,EMP0010,2025-01-12,Present,8.5
AT00283,EMP0010,2025-01-13,Leave,8.5
AT00284,EMP0010,2025-01-14,Present,7.9
AT00285,EMP0010,2025-01-15,Present,8.5
AT00286,EMP0010,2025-01-16,Present,7.5
AT00287,EMP0010,2025-01-17,Present,7.8
AT00288,EMP0010,2025-01-18,Present,7.8
AT00289,EMP0010,2025-01-19,Present,8.6
AT00290,EMP0010,2025-01-20,Present,8.5
AT00291,EMP0010,2025-01-21,WFH,7.9
AT00292,EMP0010,2025-01-22,Present,8.6
AT00293,EMP0010,2025-01-23,Present,7.3
AT00294,EMP0010,2025-01-24,Present,8.1
AT00295,EMP0010,2025-01-25,Present,7.8
AT00296,EMP0010,2025-01-26,Absent,0.0
AT00297,EMP0010,2025-01-27,Present,8.5
AT00298,EMP0010,2025-01-28,Leave,8.3
AT00299,EMP0010,2025-01-29,Absent,0.0
AT00300,EMP0010,2025-01-30,Present,7.5
AT00301,EMP0011,2025-01-01,Present,8.7
AT00302,EMP0011,2025-01-02,Present,8.0
AT00303,EMP0011,2025-01-03,Present,7.6
AT00304,EMP0011,2025-01-04,Present,8.1
AT00305,EMP0011,2025-01-05,Present,8.8
AT00306,EMP0011,2025-01-06,Present,7.0
AT00307,EMP0011,2025-01-07,Present,8.9
AT00308,EMP0011,2025-01-08,Present,8.1
AT00309,EMP0011,2025-01-09,Present,8.0
AT00310,EMP0011,2025-01-10,Present,7.2
AT00311,EMP0011,2025-01-11,Present,7.4
AT00312,EMP0011,2025-01-12,Present,8.3
AT00313,EMP0011,2025-01-13,Present,7.1
AT00314,EMP0011,2025-01-14,Present,8.9
AT00315,EMP0011,2025-01-15,Present,8.1
AT00316,EMP0011,2025-01-16,Present,9.0
AT00317,EMP0011,2025-01-17,Present,8.2
AT00318,EMP0011,2025-01-18,Present,7.1
AT00319,EMP0011,2025-01-19,Present,7.8
AT00320,EMP0011,2025-01-20,Present,8.8
AT00321,EMP0011,2025-01-21,Present,8.5
AT00322,EMP0011,2025-01-22,Present,9.0
AT00323,EMP0011,2025-01-23,Present,8.3
AT00324,EMP0011,2025-01-24,Present,8.1
AT00325,EMP0011,2025-01-25,WFH,8.6
AT00326,EMP0011,2025-01-26,Present,7.4
AT00327,EMP0011,2025-01-27,Present,7.5
AT00328,EMP0011,2025-01-28,Present,8.7
AT00329,EMP0011,2025-01-29,Present,7.7
AT00330,EMP0011,2025-01-30,Present,8.0
AT00331,EMP0012,2025-01-01,Present,7.9
AT00332,EMP0012,2025-01-02,Leave,7.8
AT00333,EMP0012,2025-01-03,Present,7.2
AT00334,EMP0012,2025-01-04,Present,8.6
AT00335,EMP0012,2025-01-05,Present,8.4
AT00336,EMP0012,2025-01-06,Present,7.3
AT00337,EMP0012,2025-01-07,Present,8.1
AT00338,EMP0012,2025-01-08,Present,8.7
AT00339,EMP0012,2025-01-09,Present,7.1
AT00340,EMP0012,2025-01-10,Present,7.9
AT00341,EMP0012,2025-01-11,Present,8.5
AT00342,EMP0012,2025-01-12,Present,7.5
AT00343,EMP0012,2025-01-13,WFH,8.8
AT00344,EMP0012,2025-01-14,Present,7.4
AT00345,EMP0012,2025-01-15,Present,7.2
AT00346,EMP0012,2025-01-16,Present,8.3
AT00347,EMP0012,2025-01-17,Present,8.7
AT00348,EMP0012,2025-01-18,Present,8.7
AT00349,EMP0012,2025-01-19,Present,7.7
AT00350,EMP0012,2025-01-20,Present,8.6
AT00351,EMP0012,2025-01-21,Present,7.3
AT00352,EMP0012,2025-01-22,Present,7.9
AT00353,EMP0012,2025-01-23,Absent,0.0
AT00354,EMP0012,2025-01-24,Present,7.1
AT00355,EMP0012,2025-01-25,Present,8.9
AT00356,EMP0012,2025-01-26,Present,9.0
AT00357,EMP0012,2025-01-27,Present,7.1
AT00358,EMP0012,2025-01-28,Present,8.8
AT00359,EMP0012,2025-01-29,Present,8.8
AT00360,EMP0012,2025-01-30,Leave,8.7
AT00361,EMP0013,2025-01-01,WFH,8.0
AT00362,EMP0013,2025-01-02,Present,8.7
AT00363,EMP0013,2025-01-03,WFH,7.7
AT00364,EMP0013,2025-01-04,Present,7.5
AT00365,EMP0013,2025-01-05,Present,8.0
AT00366,EMP0013,2025-01-06,Leave,8.4
AT00367,EMP0013,2025-01-07,Present,8.9
AT00368,EMP0013,2025-01-08,Present,7.2
AT00369,EMP0013,2025-01-09,Present,8.5
AT00370,EMP0013,2025-01-10,Present,9.0
AT00371,EMP0013,2025-01-11,Present,8.9
AT00372,EMP0013,2025-01-12,Present,8.4
AT00373,EMP0013,2025-01-13,Present,8.7
AT00374,EMP0013,2025-01-14,Present,7.6
AT00375,EMP0013,2025-01-15,Present,8.4
AT00376,EMP0013,2025-01-16,Present,8.8
AT00377,EMP0013,2025-01-17,Present,7.5
AT00378,EMP0013,2025-01-18,Present,9.0
AT00379,EMP0013,2025-01-19,Present,8.3
AT00380,EMP0013,2025-01-20,Present,7.6
AT00381,EMP0013,2025-01-21,Present,7.3
AT00382,EMP0013,2025-01-22,Present,7.1
AT00383,EMP0013,2025-01-23,Present,8.4
AT00384,EMP0013,2025-01-24,Present,8.7
AT00385,EMP0013,2025-01-25,Present,8.8
AT00386,EMP0013,2025-01-26,Present,7.5
AT00387,EMP0013,2025-01-27,Present,7.3
AT00388,EMP0013,2025-01-28,Present,8.7
AT00389,EMP0013,2025-01-29,Present,7.9
AT00390,EMP0013,2025-01-30,Present,7.6
AT00391,EMP0014,2025-01-01,Present,7.0
AT00392,EMP0014,2025-01-02,Present,7.3
AT00393,EMP0014,2025-01-03,Present,7.4
AT00394,EMP0014,2025-01-04,Present,8.9
AT00395,EMP0014,2025-01-05,Present,8.4
AT00396,EMP0014,2025-01-06,Present,8.0
AT00397,EMP0014,2025-01-07,Present,7.7
AT00398,EMP0014,2025-01-08,Present,8.9
AT00399,EMP0014,2025-01-09,Present,7.7
AT00400,EMP0014,2025-01-10,Present,7.7
AT00401,EMP0014,2025-01-11,Present,7.5
AT00402,EMP0014,2025-01-12,Present,8.7
AT00403,EMP0014,2025-01-13,Present,7.2
AT00404,EMP0014,2025-01-14,Present,9.0
AT00405,EMP0014,2025-01-15,Present,7.0
AT00406,EMP0014,2025-01-16,Present,7.3
AT00407,EMP0014,2025-01-17,Present,8.7
AT00408,EMP0014,2025-01-18,Present,8.1
AT00409,EMP0014,2025-01-19,Present,7.8
AT00410,EMP0014,2025-01-20,Present,8.2
AT00411,EMP0014,2025-01-21,Present,8.2
AT00412,EMP0014,2025-01-22,Present,7.4
AT00413,EMP0014,2025-01-23,Present,7.8
AT00414,EMP0014,2025-01-24,Present,7.3
AT00415,EMP0014,2025-01-25,Present,8.9
AT00416,EMP0014,2025-01-26,Present,8.0
AT00417,EMP0014,2025-01-27,Present,7.7
AT00418,EMP0014,2025-01-28,Present,8.4
AT00419,EMP0014,2025-01-29,Present,7.6
AT00420,EMP0014,2025-01-30,Present,8.0
AT00421,EMP0015,2025-01-01,Present,8.1
AT00422,EMP0015,2025-01-02,Present,7.3
AT00423,EMP0015,2025-01-03,Present,7.4
AT00424,EMP0015,2025-01-04,Absent,0.0
AT00425,EMP0015,2025-01-05,Present,7.1
AT00426,EMP0015,2025-01-06,Present,7.0
AT00427,EMP0015,2025-01-07,Present,8.8
AT00428,EMP0015,2025-01-08,Present,8.6
AT00429,EMP0015,2025-01-09,Present,8.9
AT00430,EMP0015,2025-01-10,Present,7.6
AT00431,EMP0015,2025-01-11,Absent,0.0
AT00432,EMP0015,2025-01-12,Present,7.1
AT00433,EMP0015,2025-01-13,Present,8.8
AT00434,EMP0015,2025-01-14,Present,7.8
AT00435,EMP0015,2025-01-15,Present,7.1
AT00436,EMP0015,2025-01-16,WFH,7.2
AT00437,EMP0015,2025-01-17,WFH,8.1
AT00438,EMP0015,2025-01-18,Present,7.1
AT00439,EMP0015,2025-01-19,Present,8.4
AT00440,EMP0015,2025-01-20,Present,7.6
AT00441,EMP0015,2025-01-21,Present,7.9
AT00442,EMP0015,2025-01-22,WFH,7.3
AT00443,EMP0015,2025-01-23,Present,8.3
AT00444,EMP0015,2025-01-24,WFH,8.0
AT00445,EMP0015,2025-01-25,Present,8.4
AT00446,EMP0015,2025-01-26,Present,8.1
AT00447,EMP0015,2025-01-27,Present,8.7
AT00448,EMP0015,2025-01-28,Present,8.0
AT00449,EMP0015,2025-01-29,Present,8.4
AT00450,EMP0015,2025-01-30,Present,8.9
AT00451,EMP0016,2025-01-01,Present,7.1
AT00452,EMP0016,2025-01-02,Present,8.9
AT00453,EMP0016,2025-01-03,Absent,0.0
AT00454,EMP0016,2025-01-04,Present,9.0
AT00455,EMP0016,2025-01-05,Leave,8.0
AT00456,EMP0016,2025-01-06,Absent,0.0
AT00457,EMP0016,2025-01-07,Present,8.5
AT00458,EMP0016,2025-01-08,Present,8.9
AT00459,EMP0016,2025-01-09,Present,8.3
AT00460,EMP0016,2025-01-10,Present,7.4
AT00461,EMP0016,2025-01-11,Present,7.8
AT00462,EMP0016,2025-01-12,Present,8.3
AT00463,EMP0016,2025-01-13,Present,8.3
AT00464,EMP0016,2025-01-14,Present,7.9
AT00465,EMP0016,2025-01-15,Leave,8.5
AT00466,EMP0016,2025-01-16,Present,9.0
AT00467,EMP0016,2025-01-17,Present,8.0
AT00468,EMP0016,2025-01-18,Present,8.5
AT00469,EMP0016,2025-01-19,WFH,7.5
AT00470,EMP0016,2025-01-20,Present,8.8
AT00471,EMP0016,2025-01-21,WFH,8.5
AT00472,EMP0016,2025-01-22,Present,8.3
AT00473,EMP0016,2025-01-23,Present,7.2
AT00474,EMP0016,2025-01-24,Present,7.9
AT00475,EMP0016,2025-01-25,Present,8.5
AT00476,EMP0016,2025-01-26,Leave,7.9
AT00477,EMP0016,2025-01-27,WFH,7.7
AT00478,EMP0016,2025-01-28,Leave,7.7
AT00479,EMP0016,2025-01-29,Present,7.8
AT00480,EMP0016,2025-01-30,Present,7.3
AT00481,EMP0017,2025-01-01,Present,7.4
AT00482,EMP0017,2025-01-02,Leave,8.8
AT00483,EMP0017,2025-01-03,Absent,0.0
AT00484,EMP0017,2025-01-04,WFH,8.3
AT00485,EMP0017,2025-01-05,Present,7.2
AT00486,EMP0017,2025-01-06,Absent,0.0
AT00487,EMP0017,2025-01-07,Present,8.9
AT00488,EMP0017,2025-01-08,Absent,0.0
AT00489,EMP0017,2025-01-09,Present,8.2
AT00490,EMP0017,2025-01-10,WFH,7.7
AT00491,EMP0017,2025-01-11,Present,7.2
AT00492,EMP0017,2025-01-12,WFH,7.4
AT00493,EMP0017,2025-01-13,Present,7.5
AT00494,EMP0017,2025-01-14,Present,8.2
AT00495,EMP0017,2025-01-15,Present,7.3
AT00496,EMP0017,2025-01-16,Present,7.5
AT00497,EMP0017,2025-01-17,Present,8.6
AT00498,EMP0017,2025-01-18,Present,7.0
AT00499,EMP0017,2025-01-19,Present,7.1
AT00500,EMP0017,2025-01-20,Present,8.3
AT00501,EMP0017,2025-01-21,Present,8.2
AT00502,EMP0017,2025-01-22,Present,8.9
AT00503,EMP0017,2025-01-23,Present,7.3
AT00504,EMP0017,2025-01-24,Present,8.1
AT00505,EMP0017,2025-01-25,Leave,8.9
AT00506,EMP0017,2025-01-26,Present,9.0
AT00507,EMP0017,2025-01-27,WFH,7.6
AT00508,EMP0017,2025-01-28,Present,8.0
AT00509,EMP0017,2025-01-29,Present,7.4
AT00510,EMP0017,2025-01-30,Present,7.8
AT00511,EMP0018,2025-01-01,Present,7.2
AT00512,EMP0018,2025-01-02,Present,8.1
AT00513,EMP0018,2025-01-03,Present,8.4
AT00514,EMP0018,2025-01-04,Present,7.6
AT00515,EMP0018,2025-01-05,Present,7.5
AT00516,EMP0018,2025-01-06,Absent,0.0
AT00517,EMP0018,2025-01-07,Present,8.8
AT00518,EMP0018,2025-01-08,Present,7.1
AT00519,EMP0018,2025-01-09,Present,8.7
AT00520,EMP0018,2025-01-10,Present,7.9
AT00521,EMP0018,2025-01-11,Absent,0.0
AT00522,EMP0018,2025-01-12,Present,8.7
AT00523,EMP0018,2025-01-13,Present,8.6
AT00524,EMP0018,2025-01-14,Present,8.8
AT00525,EMP0018,2025-01-15,Present,8.1
AT00526,EMP0018,2025-01-16,Present,8.9
AT00527,EMP0018,2025-01-17,WFH,7.2
AT00528,EMP0018,2025-01-18,Present,8.3
AT00529,EMP0018,2025-01-19,Present,8.7
AT00530,EMP0018,2025-01-20,Present,7.6
AT00531,EMP0018,2025-01-21,Present,8.9
AT00532,EMP0018,2025-01-22,Present,9.0
AT00533,EMP0018,2025-01-23,Present,7.4
AT00534,EMP0018,2025-01-24,Present,7.4
AT00535,EMP0018,2025-01-25,Present,7.5
AT00536,EMP0018,2025-01-26,Present,7.7
AT00537,EMP0018,2025-01-27,WFH,8.4
AT00538,EMP0018,2025-01-28,Present,7.6
AT00539,EMP0018,2025-01-29,Present,7.6
AT00540,EMP0018,2025-01-30,Present,7.2
AT00541,EMP0019,2025-01-01,Present,8.6
AT00542,EMP0019,2025-01-02,Absent,0.0
AT00543,EMP0019,2025-01-03,Present,8.2
AT00544,EMP0019,2025-01-04,Present,8.2
AT00545,EMP0019,2025-01-05,Present,7.7
AT00546,EMP0019,2025-01-06,Leave,8.0
AT00547,EMP0019,2025-01-07,Present,8.2
AT00548,EMP0019,2025-01-08,Present,7.6
AT00549,EMP0019,2025-01-09,Present,7.0
AT00550,EMP0019,2025-01-10,Present,7.7
AT00551,EMP0019,2025-01-11,Present,7.6
AT00552,EMP0019,2025-01-12,Present,8.5
AT00553,EMP0019,2025-01-13,Present,7.7
AT00554,EMP0019,2025-01-14,Present,8.0
